node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_RMS,2022-06-28,1,5,70,333
PDS_RMS,2022-07-22,3,16,70,333
PDS_RMS,2022-07-23,4,22,70,333
PDS_RMS,2022-07-27,56,282,70,333
PDS_RMS,2023-03-27,57,287,70,333
PDS_RMS,2024-02-01,58,288,70,333
PDS_RMS,2024-02-28,59,293,70,333
PDS_RMS,2024-03-13,62,310,70,333
PDS_RMS,2026-06-10,70,333,70,333
PDS_SBN,2022-05-31,1,2,352,1081
PDS_SBN,2022-06-28,2,6,352,1081
PDS_SBN,2022-07-20,95,194,352,1081
PDS_SBN,2022-08-07,103,194,352,1081
PDS_SBN,2022-08-08,109,219,352,1081
PDS_SBN,2022-08-09,118,219,352,1081
PDS_SBN,2022-08-10,121,301,352,1081
PDS_SBN,2022-08-12,121,321,352,1081
PDS_SBN,2022-08-15,125,342,352,1081
PDS_SBN,2022-08-16,126,344,352,1081
PDS_SBN,2022-08-17,126,346,352,1081
PDS_SBN,2022-12-12,127,347,352,1081
PDS_SBN,2023-01-12,131,354,352,1081
PDS_SBN,2023-05-10,132,355,352,1081
PDS_SBN,2023-05-18,133,356,352,1081
PDS_SBN,2023-06-02,134,363,352,1081
PDS_SBN,2023-07-07,139,370,352,1081
PDS_SBN,2023-07-14,143,376,352,1081
PDS_SBN,2023-12-19,144,378,352,1081
PDS_SBN,2024-01-12,145,379,352,1081
